task_id,user_name,duration_seconds,date,type
manual_cut_13287398199_20260808_100929_00000_task_0,Priya,106.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_085810_00002_task_0,Priya,66.0,2026-08-26,submitted
manual_cut_13287398199_20260808_085810_00002_task_0,Priya,66.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_085810_00001_task_1,Priya,103.0,2026-08-26,submitted
manual_cut_13287398199_20260808_085810_00001_task_1,Priya,103.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_085810_00000_task_8,Priya,139.0,2026-08-26,submitted
manual_cut_13287398199_20260808_085810_00000_task_8,Priya,139.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_085810_00000_task_7,Priya,11.0,2026-08-26,submitted
manual_cut_13287398199_20260808_085810_00000_task_7,Priya,11.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_085810_00000_task_5,Priya,17.0,2026-08-26,submitted
manual_cut_13287398199_20260808_085810_00000_task_5,Priya,17.0,2026-08-26,leader_passed
manual_cut_13287398199_20260806_191930_00000_task_1,Priya,295.0,2026-08-26,submitted
manual_cut_13287398199_20260806_191930_00000_task_1,Priya,295.0,2026-08-26,leader_passed
manual_cut_13287398199_20260806_175421_00003_task_0,Priya,214.0,2026-08-26,submitted
manual_cut_13287398199_20260806_175421_00003_task_0,Priya,214.0,2026-08-26,leader_passed
manual_cut_13287398199_20260806_175421_00000_task_1,Priya,297.0,2026-08-26,submitted
manual_cut_13287398199_20260806_175421_00000_task_1,Priya,297.0,2026-08-26,leader_passed
manual_cut_13287398199_20260805_181449_00001_task_2,Priya,86.0,2026-08-26,submitted
manual_cut_13287398199_20260805_181449_00001_task_2,Priya,86.0,2026-08-26,leader_passed
manual_cut_13287398199_20260805_102942_00001_task_3,Priya,127.0,2026-08-26,submitted
manual_cut_13287398199_20260805_102942_00001_task_3,Priya,127.0,2026-08-26,leader_passed
manual_cut_13287398199_20260805_102942_00001_task_1,Priya,33.0,2026-08-26,submitted
manual_cut_13287398199_20260805_102942_00001_task_1,Priya,33.0,2026-08-26,leader_passed
manual_cut_13287398199_20260805_102942_00001_task_0,Priya,51.0,2026-08-26,submitted
manual_cut_13287398199_20260805_102942_00001_task_0,Priya,51.0,2026-08-26,leader_passed
manual_cut_13287398199_20260731_141210_00003_task_0,Priya,30.0,2026-08-26,submitted
manual_cut_13287398199_20260731_141210_00003_task_0,Priya,30.0,2026-08-26,leader_passed
manual_cut_13287398199_20260731_141210_00001_task_0,Priya,300.0,2026-08-26,submitted
manual_cut_13287398199_20260731_141210_00001_task_0,Priya,300.0,2026-08-26,leader_passed
manual_cut_13255608896_20260704_070007_00001_task_3,Priya,71.0,2026-08-26,submitted
manual_cut_13255608896_20260704_070007_00001_task_3,Priya,71.0,2026-08-26,leader_passed
manual_cut_13255608896_20260704_070007_00001_task_0,Priya,32.0,2026-08-26,submitted
